horizon,sensor,MAE,RMSE,R2,MAPE,samples
15,temperature,0.05174968540817221,0.07087325761841504,0.9992005036703167,0.22762687121142175,10050
15,humidity,0.1441327964795152,0.2052965415586655,0.997932356192324,0.24213725890476484,10050
15,co2,1.8919702071640632,2.852951423138165,0.9962205282953148,0.2933487440352486,10050
15,ammonia,0.05613651084518776,0.09578949816856387,0.998580662134168,2.6009616052869573,10050
30,temperature,0.46004314827076503,0.57233905208834,0.9477800058671815,2.021913454024414,10035
30,humidity,1.6701537712803611,2.0938264422755037,0.7846315955065661,2.8020557979803757,10035
30,co2,27.688304005196084,34.64072292696447,0.4427950355668855,4.308161011846787,10035
30,ammonia,0.6482645444129117,1.0372726709899558,0.8331455110217657,39.117034298173145,10035
60,temperature,0.5977524897327293,0.7348588379106072,0.9136865760288266,2.624145943175391,10005
60,humidity,1.7693604118227817,2.2095928700724143,0.7597008844115474,2.9688318268754594,10005
60,co2,29.898980497085965,37.423242773151024,0.3493999356760915,4.64160330773451,10005
60,ammonia,0.8507885985654197,1.5278198373468925,0.6360985889583667,66.31481412982528,10005
