method,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,false_alarm_rate
Z-Score,0.2513274336283186,0.5843621399176955,0.35148514851485146,142,423,9414,101,0.043000914913083256
Isolation Forest,0.08465608465608465,0.19753086419753085,0.11851851851851852,48,519,9318,195,0.05275998780115889
LOF,0.12033694344163658,0.823045267489712,0.20997375328083986,200,1462,8375,43,0.14862254752465182
Ensemble,0.15677966101694915,0.3045267489711934,0.206993006993007,74,398,9439,169,0.04045948968181356
