horizon,sensor,MAE,RMSE,R2,MAPE,samples
15,temperature,0.09197831634906319,0.12050114578985562,0.9988710591482357,0.33433195631982215,1410
15,humidity,0.36972325091098923,0.48253293653588397,0.9957750191651918,0.6259394901885098,1410
15,co2,9.720556663509019,12.835566769181698,0.9929928722697133,1.2564409112090744,1410
15,ammonia,0.39550326452851964,0.5282725376179108,0.9904158005879182,5.072806797824836,1410
30,temperature,0.587803931359907,0.7397839352297331,0.957894878011184,2.136104724049652,1395
30,humidity,2.154891227409125,2.6948673354927934,0.8695087046515242,3.638474109671843,1395
30,co2,56.06409914687169,69.93574695487494,0.7936844672378125,7.307252052049136,1395
30,ammonia,3.628836163283705,5.533270673325327,-0.044033337272530115,41.591320421007595,1395
60,temperature,0.7825913459147918,0.9671081110427665,0.9294649031964621,2.835254057442115,1365
60,humidity,2.454171020681449,3.0448801894017996,0.8365891721619638,4.146945026664632,1365
60,co2,60.58349802792793,75.16070811395997,0.7659031010604194,7.912652832317393,1365
60,ammonia,3.84513665441807,5.823409143390531,-0.1525861738551082,48.649956677693304,1365
