sensor,MAE,RMSE,Bias,Pearson_r,R2,BA_bias,Upper_LoA,Lower_LoA
temperature,0.16762268440093464,0.21099336000194116,-0.0022341703187164293,0.9982358173609585,0.9964747470623008,-0.0022341703187164293,0.4112896305564402,-0.41575797119387303
humidity,0.774285052851326,0.968471296679782,-0.0063781271979331785,0.9913922777514756,0.9828586483852593,-0.0063781271979331785,1.8917844490798914,-1.9045407034757575
co2,23.30463820109884,29.011830836467833,0.909733535526705,0.9824023134489068,0.965114305469764,0.909733535526705,57.74495882155469,-55.92549175050128
ammonia,0.7803709613285112,0.9894650053762521,-0.004191733140757948,0.9836945967287107,0.9676550596332606,-0.004191733140757948,1.9351422747686566,-1.9435257410501725
